date,forks_cumulative
2022-04-13,1
2022-11-02,2
2022-11-11,3
2023-03-03,4
2023-04-18,5
2023-06-05,6
2023-06-09,7
2023-07-28,8
2023-08-01,10
2023-08-07,11
2024-03-06,12
2024-03-11,13
2024-09-28,14
2024-09-30,15
2024-10-10,16
2024-11-02,17
2025-01-18,18
2025-03-12,19
2025-03-15,20
2025-06-17,21
2025-06-25,22
2025-07-02,23
2025-08-05,24
2025-10-08,25
2025-11-14,26
2025-11-24,27
2025-11-27,28
2025-12-02,29
2026-01-27,30
2026-02-10,31
2026-03-19,32
2026-04-01,33
2026-04-09,34
2026-05-04,35
2026-06-11,36
2026-07-17,37
